instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,cluster,PCA1,PCA2,KMeans,Isol,Grubbs
1,1/1/2011,1,0,1,FALSE,6,FALSE,2,0.344167,0.363625,0.805833,0.160446,331,654,985,2,1.488571033,0.993194113,0,0,0
2,2/1/2011,1,0,1,FALSE,0,FALSE,2,0.363478,0.353739,0.696087,0.248539,131,670,801,2,1.696641456,0.626115871,0,0,0
3,3/1/2011,1,0,1,FALSE,1,TRUE,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,2,2.102442927,-0.729504701,0,0,0
4,4/1/2011,1,0,1,FALSE,2,TRUE,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,2,1.833078122,-0.19408252,0,0,0
5,5/1/2011,1,0,1,FALSE,3,TRUE,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,2,1.861012206,-0.716697929,0,0,0
6,6/1/2011,1,0,1,FALSE,4,TRUE,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,2,1.70251062,-0.3362824,0,0,0
7,7/1/2011,1,0,1,FALSE,5,TRUE,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,2,1.976021879,0.201241361,0,0,0
8,8/1/2011,1,0,1,FALSE,6,FALSE,2,0.165,0.162254,0.535833,0.266804,68,891,959,2,2.351407274,0.199537316,1,1,0
9,9/1/2011,1,0,1,FALSE,0,FALSE,1,0.138333,0.116175,0.434167,0.36195,54,768,822,2,2.602173984,-0.829890269,1,1,0
10,10/1/2011,1,0,1,FALSE,1,TRUE,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,2,2.1782541,-0.521071329,0,0,0
11,11/1/2011,1,0,1,FALSE,2,TRUE,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,2,1.938071885,0.900917563,1,0,0
12,12/1/2011,1,0,1,FALSE,3,TRUE,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,2,2.222759772,-0.322999738,0,1,0
13,13/01/2011,1,0,1,FALSE,4,TRUE,1,0.165,0.150883,0.470417,0.301,38,1368,1406,2,2.261465463,-0.726210513,0,0,0
14,14/01/2011,1,0,1,FALSE,5,TRUE,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,2,1.908453252,-0.291279731,0,0,0
15,15/01/2011,1,0,1,FALSE,6,FALSE,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,2,1.923645752,0.162651011,0,0,0
16,16/01/2011,1,0,1,FALSE,0,FALSE,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,2,1.939851948,-0.54856549,0,0,0
17,17/01/2011,1,0,1,TRUE,1,FALSE,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,2,2.314412012,0.335033694,1,1,0
18,18/01/2011,1,0,1,FALSE,2,TRUE,2,0.216667,0.232333,0.861667,0.146775,9,674,683,2,1.845397756,1.403214851,1,1,0
19,19/01/2011,1,0,1,FALSE,3,TRUE,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,2,1.640233943,0.784638119,0,0,0
20,20/01/2011,1,0,1,FALSE,4,TRUE,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,2,1.779504157,0.197117761,0,0,0
21,21/01/2011,1,0,1,FALSE,5,TRUE,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,2,2.296053666,-0.879223959,0,1,0
22,22/01/2011,1,0,1,FALSE,6,FALSE,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,2,2.464089967,-0.682484979,1,1,0
23,23/01/2011,1,0,1,FALSE,0,FALSE,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,2,2.492805561,-0.641770856,1,1,0
24,24/01/2011,1,0,1,FALSE,1,TRUE,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,2,2.194406653,-0.37212529,0,0,0
25,25/01/2011,1,0,1,FALSE,2,TRUE,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,2,1.733733605,0.568315797,0,0,0
26,26/01/2011,1,0,1,FALSE,3,TRUE,3,0.2175,0.2036,0.8625,0.29385,34,472,506,2,2.219283825,1.90426566,1,1,1
27,27/01/2011,1,0,1,FALSE,4,TRUE,1,0.195,0.2197,0.6875,0.113837,15,416,431,2,1.861316185,0.258824408,0,0,1
28,28/01/2011,1,0,1,FALSE,5,TRUE,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,2,1.799008252,1.159008659,1,0,0
29,29/01/2011,1,0,1,FALSE,6,FALSE,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,2,1.890071096,-0.028677278,0,0,0
30,30/01/2011,1,0,1,FALSE,0,FALSE,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,2,1.678754604,0.333232863,0,0,0
31,31/01/2011,1,0,1,FALSE,1,TRUE,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,2,2.033597099,0.543954917,0,0,0
32,1/2/2011,1,0,2,FALSE,2,TRUE,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,2,1.60445971,1.453373537,1,0,0
33,2/2/2011,1,0,2,FALSE,3,TRUE,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,2,1.792448595,0.909091813,0,0,0
34,3/2/2011,1,0,2,FALSE,4,TRUE,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,2,2.090371553,-0.754870574,0,0,0
35,4/2/2011,1,0,2,FALSE,5,TRUE,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,2,1.744867125,0.547337092,0,0,0
36,5/2/2011,1,0,2,FALSE,6,FALSE,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,2,1.740004055,1.510798711,1,1,0
37,6/2/2011,1,0,2,FALSE,0,FALSE,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,2,1.553065024,-0.254692426,0,0,0
38,7/2/2011,1,0,2,FALSE,1,TRUE,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,2,1.274035057,0.408787375,0,0,0
39,8/2/2011,1,0,2,FALSE,2,TRUE,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,2,2.103943313,-0.586450538,0,0,0
40,9/2/2011,1,0,2,FALSE,3,TRUE,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,2,2.141969571,0.290395666,0,0,0
41,10/2/2011,1,0,2,FALSE,4,TRUE,1,0.144348,0.149548,0.437391,0.221935,47,1491,1538,2,2.11505724,-0.641366967,0,0,0
42,11/2/2011,1,0,2,FALSE,5,TRUE,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746,2,1.715089834,-0.346098217,0,0,0
43,12/2/2011,1,0,2,FALSE,6,FALSE,1,0.2225,0.232954,0.544167,0.203367,288,1184,1472,2,1.84696857,-0.424115091,0,0,0
44,13/02/2011,1,0,2,FALSE,0,FALSE,1,0.316522,0.324113,0.457391,0.260883,397,1192,1589,2,1.686352186,-0.781710171,0,0,0
45,14/02/2011,1,0,2,FALSE,1,TRUE,1,0.415,0.39835,0.375833,0.417908,208,1705,1913,2,1.599508327,-1.334554178,0,0,0
46,15/02/2011,1,0,2,FALSE,2,TRUE,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815,2,1.892690644,-1.204477261,0,0,0
47,16/02/2011,1,0,2,FALSE,3,TRUE,1,0.318261,0.3162,0.423478,0.251791,218,1897,2115,2,1.56919211,-0.91626114,0,0,0
48,17/02/2011,1,0,2,FALSE,4,TRUE,1,0.435833,0.428658,0.505,0.230104,259,2216,2475,2,1.099143365,-0.789257149,0,0,0
49,18/02/2011,1,0,2,FALSE,5,TRUE,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,2,0.824745327,-0.937700679,0,0,0
50,19/02/2011,1,0,2,FALSE,6,FALSE,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,2,1.918413404,-2.08050927,0,1,0
51,20/02/2011,1,0,2,FALSE,0,FALSE,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,2,1.741504243,-0.861945159,0,0,0
52,21/02/2011,1,0,2,TRUE,1,FALSE,2,0.303333,0.284075,0.605,0.307846,195,912,1107,2,2.032422032,0.319421813,0,0,0
53,22/02/2011,1,0,2,FALSE,2,TRUE,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,2,1.921067155,-0.188076477,0,0,0
54,23/02/2011,1,0,2,FALSE,3,TRUE,1,0.221739,0.245717,0.423043,0.094113,139,1778,1917,2,1.610210298,-0.588800885,0,0,0
55,24/02/2011,1,0,2,FALSE,4,TRUE,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,2,1.654855212,0.631133659,0,0,0
56,25/02/2011,1,0,2,FALSE,5,TRUE,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,2,1.638381663,0.501720291,0,0,0
57,26/02/2011,1,0,2,FALSE,6,FALSE,1,0.2825,0.282192,0.537917,0.186571,424,1545,1969,2,1.591259069,-0.515212896,0,0,0
58,27/02/2011,1,0,2,FALSE,0,FALSE,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,2,1.199418693,-0.035695408,0,0,0
59,28/02/2011,1,0,2,FALSE,1,TRUE,2,0.407273,0.400118,0.876364,0.289686,81,1365,1446,2,1.355363098,1.079364624,0,0,0
60,1/3/2011,1,0,3,FALSE,2,TRUE,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,2,1.613757643,-0.387206339,0,0,0
61,2/3/2011,1,0,3,FALSE,3,TRUE,1,0.335,0.320071,0.449583,0.307833,231,1903,2134,2,1.556772004,-0.868762446,0,0,0
62,3/3/2011,1,0,3,FALSE,4,TRUE,1,0.198333,0.200133,0.318333,0.225754,123,1562,1685,2,1.935001086,-0.986571351,0,0,0
63,4/3/2011,1,0,3,FALSE,5,TRUE,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,2,1.647294033,0.515980665,0,0,0
64,5/3/2011,1,0,3,FALSE,6,FALSE,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,2,1.299719849,0.797654664,0,0,0
65,6/3/2011,1,0,3,FALSE,0,FALSE,2,0.376522,0.366252,0.948261,0.343287,114,491,605,2,1.61684921,1.363410678,1,0,0
66,7/3/2011,1,0,3,FALSE,1,TRUE,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,2,1.845970375,-0.507562811,0,0,0
67,8/3/2011,1,0,3,FALSE,2,TRUE,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,2,1.37685828,-0.632038817,0,0,0
68,9/3/2011,1,0,3,FALSE,3,TRUE,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,2,1.518653363,0.975655201,0,0,0
69,10/3/2011,1,0,3,FALSE,4,TRUE,3,0.389091,0.385668,0,0.261877,46,577,623,2,1.848509153,-0.601202819,0,0,0
70,11/3/2011,1,0,3,FALSE,5,TRUE,2,0.316522,0.305,0.649565,0.23297,247,1730,1977,2,1.512264717,0.539614372,0,0,0
71,12/3/2011,1,0,3,FALSE,6,FALSE,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,2,1.406099205,-0.389163974,0,0,0
72,13/03/2011,1,0,3,FALSE,0,FALSE,1,0.384348,0.380091,0.527391,0.270604,982,1435,2417,2,1.319990237,-0.665610121,0,0,0
73,14/03/2011,1,0,3,FALSE,1,TRUE,1,0.325217,0.332,0.496957,0.136926,359,1687,2046,2,1.289389185,-0.438226603,0,0,0
74,15/03/2011,1,0,3,FALSE,2,TRUE,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,2,1.411006325,0.652513013,0,0,0
75,16/03/2011,1,0,3,FALSE,3,TRUE,2,0.365217,0.36693,0.776522,0.203117,321,1871,2192,2,1.221038734,0.911299316,0,0,0
76,17/03/2011,1,0,3,FALSE,4,TRUE,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,2,0.998679834,-0.418758681,0,0,0
77,18/03/2011,1,0,3,FALSE,5,TRUE,1,0.54,0.527009,0.525217,0.231017,884,2355,3239,2,0.623407147,-0.8419372,0,0,0
78,19/03/2011,1,0,3,FALSE,6,FALSE,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,2,1.150643713,-1.465056821,0,0,0
79,20/03/2011,1,0,3,FALSE,0,FALSE,1,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,2,1.40270075,-0.689652387,0,0,0
80,21/03/2011,2,0,3,FALSE,1,TRUE,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,2,1.026879676,0.837974169,0,0,0
81,22/03/2011,2,0,3,FALSE,2,TRUE,1,0.441667,0.440642,0.624583,0.22575,460,2243,2703,2,0.74045281,-0.19639791,0,0,0
82,23/03/2011,2,0,3,FALSE,3,TRUE,2,0.346957,0.337939,0.839565,0.234261,203,1918,2121,0,1.128980168,1.253627513,0,0,0
83,24/03/2011,2,0,3,FALSE,4,TRUE,2,0.285,0.270833,0.805833,0.243787,166,1699,1865,2,1.387305078,1.208935878,0,0,0
84,25/03/2011,2,0,3,FALSE,5,TRUE,1,0.264167,0.256312,0.495,0.230725,300,1910,2210,2,1.414893446,-0.417858728,0,0,0
85,26/03/2011,2,0,3,FALSE,6,FALSE,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,2,1.428296168,-0.76562743,0,0,0
86,27/03/2011,2,0,3,FALSE,0,FALSE,2,0.253043,0.250339,0.493913,0.1843,472,1221,1693,2,1.586653188,0.434251465,0,0,0
87,28/03/2011,2,0,3,FALSE,1,TRUE,1,0.264348,0.257574,0.302174,0.212204,222,1806,2028,2,1.497910714,-0.886428569,0,0,0
88,29/03/2011,2,0,3,FALSE,2,TRUE,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,2,1.347500404,-0.958765829,0,0,0
89,30/03/2011,2,0,3,FALSE,3,TRUE,2,0.3,0.29735,0.646667,0.172888,168,1368,1536,2,1.325173506,0.882603495,0,0,0
90,31/03/2011,2,0,3,FALSE,4,TRUE,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,0,1.455515694,2.312368496,0,1,0
91,1/4/2011,2,0,4,FALSE,5,TRUE,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,2,1.311558858,0.841120772,0,0,0
92,2/4/2011,2,0,4,FALSE,6,FALSE,2,0.315,0.315637,0.65375,0.197146,898,1354,2252,2,1.200336381,0.76491521,0,0,0
93,3/4/2011,2,0,4,FALSE,0,FALSE,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,2,0.854757632,-0.512251831,0,0,0
94,4/4/2011,2,0,4,FALSE,1,TRUE,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115,2,0.601075983,-1.07965739,0,0,0
95,5/4/2011,2,0,4,FALSE,2,TRUE,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795,2,1.238960042,0.505435649,0,0,0
96,6/4/2011,2,0,4,FALSE,3,TRUE,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,2,0.948961351,-0.616842599,0,0,0
97,7/4/2011,2,0,4,FALSE,4,TRUE,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141,2,0.552601504,-0.163466703,0,0,0
98,8/4/2011,2,0,4,FALSE,5,TRUE,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471,0,1.183302072,1.379007269,0,0,0
99,9/4/2011,2,0,4,FALSE,6,FALSE,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455,0,0.903285827,1.472281732,0,0,0
100,10/4/2011,2,0,4,FALSE,0,FALSE,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,0,0.630265086,1.347525562,0,0,0
101,11/4/2011,2,0,4,FALSE,1,TRUE,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348,0,0.3749314,0.522358726,0,0,0
102,12/4/2011,2,0,4,FALSE,2,TRUE,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034,0,0.713415884,0.861007095,0,0,0
103,13/04/2011,2,0,4,FALSE,3,TRUE,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,0,0.878215791,1.172765117,0,0,0
104,14/04/2011,2,0,4,FALSE,4,TRUE,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267,2,0.391994187,-0.305227582,0,0,0
105,15/04/2011,2,0,4,TRUE,5,FALSE,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,2,0.749595915,-0.144023386,0,0,0
106,16/04/2011,2,0,4,FALSE,6,FALSE,3,0.430833,0.425492,0.888333,0.340808,121,674,795,0,1.253080921,2.002959107,0,1,0
107,17/04/2011,2,0,4,FALSE,0,FALSE,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,2,0.751614734,-0.810592953,0,0,0
108,18/04/2011,2,0,4,FALSE,1,TRUE,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429,2,0.327644257,-0.396205361,0,0,0
109,19/04/2011,2,0,4,FALSE,2,TRUE,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204,0,0.412424792,0.696993446,0,0,0
110,20/04/2011,2,0,4,FALSE,3,TRUE,1,0.595,0.564392,0.614167,0.241925,613,3331,3944,1,0.124951518,-0.443864612,0,0,0
111,21/04/2011,2,0,4,FALSE,4,TRUE,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,2,0.677446051,-1.114707524,0,0,0
112,22/04/2011,2,0,4,FALSE,5,TRUE,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683,0,1.190178555,1.056285372,0,0,0
113,23/04/2011,2,0,4,FALSE,6,FALSE,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036,0,0.491886428,1.09026023,0,0,0
114,24/04/2011,2,0,4,FALSE,0,FALSE,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,0,0.119122172,0.887582269,0,0,0
115,25/04/2011,2,0,4,FALSE,1,TRUE,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073,1,-0.071800157,0.117737189,0,0,0
116,26/04/2011,2,0,4,FALSE,2,TRUE,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400,1,0.048175316,-0.301209288,0,0,0
117,27/04/2011,2,0,4,FALSE,3,TRUE,2,0.62,0.575142,0.835417,0.3122,547,3325,3872,0,0.182080153,0.792461264,0,0,0
118,28/04/2011,2,0,4,FALSE,4,TRUE,2,0.6175,0.578929,0.700833,0.320908,569,3489,4058,0,0.219981351,0.35331171,0,0,0
119,29/04/2011,2,0,4,FALSE,5,TRUE,1,0.51,0.497463,0.457083,0.240063,878,3717,4595,1,0.326530992,-0.933395417,0,0,0
120,30/04/2011,2,0,4,FALSE,6,FALSE,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,1,0.361338422,-0.893233482,0,0,0
121,1/5/2011,2,0,5,FALSE,0,FALSE,2,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,0,0.422055221,1.12840559,0,0,0
122,2/5/2011,2,0,5,FALSE,1,TRUE,2,0.549167,0.532833,0.73,0.183454,847,3554,4401,0,0.082220754,0.758482066,0,0,0
123,3/5/2011,2,0,5,FALSE,2,TRUE,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451,0,0.150389259,0.355843592,0,0,0
124,4/5/2011,2,0,5,FALSE,3,TRUE,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633,0,0.932822592,0.833645748,0,0,0
125,5/5/2011,2,0,5,FALSE,4,TRUE,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433,2,0.550288222,-0.915909116,0,0,0
126,6/5/2011,2,0,5,FALSE,5,TRUE,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,1,0.281521553,-0.439886639,0,0,0
127,7/5/2011,2,0,5,FALSE,6,FALSE,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714,1,0.109101646,-0.57581316,0,0,0
128,8/5/2011,2,0,5,FALSE,0,FALSE,1,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,1,-0.013291267,-0.074460257,0,0,0
129,9/5/2011,2,0,5,FALSE,1,TRUE,1,0.5325,0.525246,0.58875,0.176,664,3698,4362,1,0.085652263,-0.332125771,0,0,0
130,10/5/2011,2,0,5,FALSE,2,TRUE,1,0.5325,0.522721,0.489167,0.115671,694,4109,4803,1,-0.022581965,-0.590293719,0,0,0
131,11/5/2011,2,0,5,FALSE,3,TRUE,1,0.5425,0.5284,0.632917,0.120642,550,3632,4182,1,-0.017996637,-0.128220062,0,0,0
132,12/5/2011,2,0,5,FALSE,4,TRUE,1,0.535,0.523363,0.7475,0.189667,695,4169,4864,1,-0.033148703,0.02035578,0,0,0
133,13/05/2011,2,0,5,FALSE,5,TRUE,2,0.5125,0.4943,0.863333,0.179725,692,3413,4105,0,0.166154783,1.169089571,0,0,0
134,14/05/2011,2,0,5,FALSE,6,FALSE,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409,0,0.190284342,1.427172084,0,0,0
135,15/05/2011,2,0,5,FALSE,0,FALSE,2,0.5625,0.536,0.867083,0.152979,1582,2971,4553,0,-0.011705046,1.152863861,0,0,0
136,16/05/2011,2,0,5,FALSE,1,TRUE,1,0.5775,0.550512,0.787917,0.126871,773,3185,3958,0,-0.122898412,0.340277249,0,0,0
137,17/05/2011,2,0,5,FALSE,2,TRUE,2,0.561667,0.538529,0.837917,0.277354,678,3445,4123,0,0.187776426,0.942205331,0,0,0
138,18/05/2011,2,0,5,FALSE,3,TRUE,2,0.55,0.527158,0.87,0.201492,536,3319,3855,0,0.127300019,1.178019038,0,0,0
139,19/05/2011,2,0,5,FALSE,4,TRUE,2,0.530833,0.510742,0.829583,0.108213,735,3840,4575,0,-0.041462907,1.125683979,0,0,0
140,20/05/2011,2,0,5,FALSE,5,TRUE,1,0.536667,0.529042,0.719583,0.125013,909,4008,4917,1,-0.141702873,0.016472125,0,0,0
141,21/05/2011,2,0,5,FALSE,6,FALSE,1,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,1,-0.346138425,-0.442084841,0,0,0
142,22/05/2011,2,0,5,FALSE,0,FALSE,1,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,1,-0.19297844,0.069774837,0,0,0
143,23/05/2011,2,0,5,FALSE,1,TRUE,2,0.631667,0.590296,0.81,0.233842,836,3438,4274,0,-0.069910758,0.873019951,0,0,0
144,24/05/2011,2,0,5,FALSE,2,TRUE,2,0.66,0.604813,0.740833,0.207092,659,3833,4492,0,-0.178765796,0.658729937,0,0,0
145,25/05/2011,2,0,5,FALSE,3,TRUE,1,0.660833,0.615542,0.69625,0.154233,740,4238,4978,1,-0.410904096,-0.164068772,0,0,0
146,26/05/2011,2,0,5,FALSE,4,TRUE,1,0.708333,0.654688,0.6775,0.199642,758,3919,4677,1,-0.429953552,-0.301854599,0,0,0
147,27/05/2011,2,0,5,FALSE,5,TRUE,1,0.681667,0.637008,0.65375,0.240679,871,3808,4679,1,-0.293562026,-0.427815228,0,0,0
